OrderID,Date,Customer,Product,Category,Region,Quantity,UnitPrice,Revenue,PaymentMethod
1,2024-10-16,Customer_143,Laptop,Electronics,East,4,15128,60512,Cash
2,2024-11-23,Customer_33,Watch,Gadgets,North,10,28151,281510,Cash
3,2023-04-06,Customer_575,Phone,Electronics,Central,10,2239,22390,Card
4,2025-01-03,Customer_460,Watch,Gadgets,Central,7,14946,104622,UPI
5,2025-04-08,Customer_285,Printer,Electronics,South,7,22798,159586,Card
6,2023-08-09,Customer_100,Printer,Accessories,North,2,25398,50796,UPI
7,2025-05-17,Customer_471,Tablet,Gadgets,East,1,48323,48323,Cash
8,2024-01-23,Customer_592,Laptop,Gadgets,East,10,24200,242000,Card
9,2024-12-22,Customer_876,Laptop,Electronics,South,5,5729,28645,Card
10,2025-06-06,Customer_855,Laptop,Accessories,East,8,42160,337280,UPI
11,2023-06-16,Customer_960,Tablet,Accessories,South,5,46494,232470,Cash
12,2024-09-15,Customer_474,Watch,Electronics,Central,4,11208,44832,Net Banking
13,2023-10-04,Customer_333,Watch,Gadgets,Central,4,45366,181464,Cash
14,2023-08-23,Customer_68,Printer,Electronics,East,7,18046,126322,Card
15,2024-08-03,Customer_906,Watch,Accessories,South,8,26428,211424,Net Banking
16,2023-05-27,Customer_270,Tablet,Electronics,South,9,35822,322398,Net Banking
17,2024-08-20,Customer_506,Headphones,Accessories,South,3,33892,101676,Cash
18,2025-02-12,Customer_433,Laptop,Electronics,South,3,45096,135288,Cash
19,2024-01-30,Customer_995,Headphones,Gadgets,West,9,16976,152784,Cash
20,2024-11-27,Customer_349,Watch,Electronics,Central,5,42506,212530,Cash
21,2023-10-28,Customer_897,Headphones,Electronics,West,1,47823,47823,UPI
22,2024-05-27,Customer_306,Printer,Electronics,Central,2,41479,82958,Card
23,2023-06-06,Customer_614,Tablet,Electronics,Central,9,537,4833,UPI
24,2024-05-15,Customer_60,Laptop,Electronics,East,5,16192,80960,Card
25,2025-06-18,Customer_779,Camera,Electronics,North,8,5035,40280,Card
26,2023-05-12,Customer_541,Watch,Accessories,Central,3,17870,53610,Net Banking
27,2023-08-05,Customer_688,Camera,Gadgets,South,5,26648,133240,UPI
28,2024-03-24,Customer_66,Camera,Accessories,North,4,15225,60900,UPI
29,2023-01-22,Customer_8,Camera,Gadgets,South,10,14932,149320,Cash
30,2024-12-25,Customer_881,Watch,Electronics,South,2,2558,5116,UPI
31,2023-03-14,Customer_553,Camera,Electronics,East,8,14540,116320,Card
32,2025-01-10,Customer_827,Camera,Gadgets,West,4,31496,125984,Net Banking
33,2023-07-14,Customer_421,Laptop,Electronics,West,6,28259,169554,Net Banking
34,2025-06-03,Customer_746,Watch,Electronics,North,1,26886,26886,UPI
35,2025-03-30,Customer_550,Printer,Electronics,South,4,12965,51860,Net Banking
36,2023-05-24,Customer_896,Headphones,Electronics,East,8,16871,134968,Cash
37,2024-03-29,Customer_554,Printer,Gadgets,North,1,43238,43238,Cash
38,2023-04-06,Customer_493,Printer,Electronics,South,7,32326,226282,Card
39,2025-06-04,Customer_400,Headphones,Electronics,South,7,641,4487,UPI
40,2025-03-13,Customer_981,Printer,Accessories,East,7,46151,323057,Net Banking
41,2023-06-08,Customer_754,Phone,Accessories,South,1,38457,38457,Cash
42,2025-02-04,Customer_515,Tablet,Electronics,North,10,31746,317460,Card
43,2023-02-28,Customer_70,Camera,Electronics,South,2,39496,78992,Card
44,2024-02-18,Customer_41,Laptop,Gadgets,South,10,39462,394620,Cash
45,2024-03-05,Customer_958,Watch,Gadgets,Central,9,21233,191097,UPI
46,2023-07-29,Customer_406,Watch,Gadgets,East,4,17907,71628,Card
47,2024-11-18,Customer_959,Watch,Accessories,West,6,49774,298644,Cash
48,2023-01-10,Customer_551,Headphones,Gadgets,Central,2,5301,10602,Card
49,2024-06-02,Customer_379,Tablet,Electronics,East,2,16509,33018,UPI
50,2023-06-11,Customer_542,Headphones,Gadgets,East,10,43358,433580,Cash
51,2024-11-14,Customer_271,Printer,Gadgets,East,2,9300,18600,Cash
52,2023-04-20,Customer_620,Watch,Gadgets,South,5,18965,94825,Card
53,2025-01-04,Customer_258,Tablet,Electronics,East,9,32516,292644,Cash
54,2023-04-05,Customer_342,Watch,Accessories,East,1,732,732,Card
55,2024-10-14,Customer_438,Tablet,Electronics,West,9,46746,420714,Cash
56,2023-04-25,Customer_855,Laptop,Gadgets,South,9,2861,25749,UPI
57,2024-08-19,Customer_316,Camera,Electronics,West,3,3241,9723,UPI
58,2025-03-26,Customer_256,Printer,Electronics,East,4,45199,180796,Cash
59,2023-12-29,Customer_159,Printer,Gadgets,West,10,49617,496170,Card
60,2025-06-04,Customer_755,Phone,Electronics,West,1,12254,12254,UPI
61,2025-03-12,Customer_807,Headphones,Gadgets,South,5,10933,54665,Cash
62,2024-01-27,Customer_837,Printer,Electronics,West,4,13579,54316,Net Banking
63,2023-12-25,Customer_198,Tablet,Electronics,South,1,43755,43755,Net Banking
64,2023-12-03,Customer_522,Tablet,Electronics,East,6,42540,255240,Net Banking
65,2024-11-26,Customer_899,Printer,Gadgets,East,1,8059,8059,UPI
66,2023-07-02,Customer_445,Camera,Accessories,North,2,39596,79192,UPI
67,2025-01-16,Customer_119,Printer,Accessories,West,10,34016,340160,Net Banking
68,2024-08-13,Customer_533,Phone,Accessories,North,7,610,4270,Card
69,2024-01-08,Customer_680,Headphones,Electronics,East,10,21072,210720,Cash
70,2025-01-07,Customer_413,Tablet,Gadgets,East,7,21876,153132,UPI
71,2024-07-21,Customer_767,Phone,Electronics,West,7,44888,314216,Card
72,2024-09-22,Customer_312,Camera,Accessories,West,9,526,4734,UPI
73,2023-08-04,Customer_453,Headphones,Gadgets,Central,6,30973,185838,Net Banking
74,2024-11-22,Customer_87,Phone,Gadgets,West,3,43678,131034,UPI
75,2024-06-11,Customer_839,Watch,Gadgets,Central,6,6620,39720,Card
76,2024-11-19,Customer_48,Tablet,Electronics,South,3,2100,6300,Card
77,2024-05-01,Customer_590,Camera,Electronics,West,7,41772,292404,Card
78,2025-01-05,Customer_152,Watch,Accessories,West,7,16489,115423,Cash
79,2025-02-07,Customer_824,Printer,Electronics,West,4,12026,48104,Net Banking
80,2023-02-21,Customer_821,Camera,Electronics,North,8,9238,73904,Net Banking
81,2024-11-14,Customer_913,Camera,Gadgets,Central,6,49996,299976,Net Banking
82,2024-09-19,Customer_457,Printer,Gadgets,Central,7,36405,254835,Card
83,2025-01-31,Customer_254,Printer,Accessories,West,5,49768,248840,UPI
84,2025-02-23,Customer_451,Printer,Gadgets,West,4,18496,73984,Cash
85,2024-12-31,Customer_915,Tablet,Electronics,East,6,21452,128712,Cash
86,2023-05-22,Customer_220,Phone,Electronics,West,3,46795,140385,Cash
87,2024-02-29,Customer_64,Headphones,Accessories,Central,8,27748,221984,Card
88,2025-05-02,Customer_390,Headphones,Accessories,Central,1,38228,38228,Net Banking
89,2023-01-07,Customer_766,Tablet,Accessories,West,7,35772,250404,Card
90,2024-05-14,Customer_399,Phone,Accessories,West,8,2402,19216,UPI
91,2024-11-15,Customer_638,Watch,Accessories,South,8,8864,70912,Cash
92,2024-02-08,Customer_439,Camera,Gadgets,North,2,42623,85246,Card
